id,direction,category,source,q5_k_m_output,q8_0_output,q5_format_ok,q8_format_ok,q5_gen_tok_s,q8_gen_tok_s,q5_tokens,q8_tokens,identical_outputs,reference
ru-en-06,RU->EN,numbers,"Счёт на 84 300 рублей нужно оплатить до 15 октября 2026 года, иначе начислят пеню 0,1% в день.","The bill for 84,300 rubles needs to be paid by October 15, 2026, otherwise a penalty of 0.1% per day will be applied.","The bill for 84,300 rubles needs to be paid by October 15, 2026, otherwise a penalty of 0.1% per day will be applied.",True,True,8.237,5.593,43,43,True,
ru-en-07,RU->EN,numbers,"Поезд отправляется в 23:40 и прибывает в 7:05 утра, в пути около 460 километров.","The train departs at 23:40 and arrives at 7:05 in the morning, covering approximately 460 kilometers.","The train departs at 23:40 and arrives at 7:05 in the morning, covering approximately 460 kilometers.",True,True,7.932,5.424,31,31,True,
ru-en-08,RU->EN,numbers,"За третий квартал выручка выросла на 18%, а количество клиентов увеличилось с 1 240 до 1 615.","For the third quarter, revenue grew by 18%, and the number of customers increased from 1,240 to 1,615.","For the third quarter, revenue grew by 18%, and the number of customers increased from 1,240 to 1,615.",True,True,8.084,5.51,33,33,True,
ru-en-09,RU->EN,long,"Несмотря на то что проект был согласован ещё в марте, из-за смены подрядчика, затянувшихся переговоров о бюджете и неожиданно жёстких требований службы безопасности запуск пришлось перенести на конец года, о чём руководство узнало только на прошлой неделе.","Despite the fact that the project was approved back in March, due to the change of contractors, prolonged budget negotiations, and unexpectedly strict security requirements, the launch had to be postponed to the end of the year, which the management learned about only last week.","Despite the fact that the project was approved back in March, due to the change of contractors, prolonged budget negotiations, and unexpectedly strict security service requirements, the launch had to be postponed to the end of the year, which the management learned about only last week.",True,True,8.095,5.546,51,52,False,
ru-en-10,RU->EN,ambiguous,Он встретил её с цветами.,He met her with flowers.,He met her with flowers.,True,True,6.786,4.67,6,6,True,
ru-en-11,RU->EN,ambiguous,Косил косой косой косой.,Cut the crooked crookedly.,Cut the crooked crookedly.,True,True,7.187,4.887,8,8,True,
ru-en-12,RU->EN,ambiguous,Мы проехали остановку.,We passed the stop.,We passed the stop.,True,True,6.532,4.43,5,5,True,
en-de-01,EN->DE,colloquial,"Hey, are we still on for lunch tomorrow, or should we push it to next week?","Hey, sind wir immer noch aufs Mittagessen morgen ver約ltigt, oder sollten wir es auf die Woche darauf verschieben?","Hey, sind wir immer noch am Rendezvous fürs Mittagessen morgen, oder sollten wir es auf die Woche darauf verschieben?",False,True,7.886,5.426,30,30,False,
en-de-02,EN->DE,colloquial,"Honestly, I didn't expect the movie to be that good, but the ending got me.","Ehrlich gesagt, ich hatte nicht erwartet, dass der Film so gut sein würde, aber der Abschluss hat mich überrascht.","Ehrlich gesagt, ich hatte nicht erwartet, dass der Film so gut ist, aber der Abschluss hat mich überrascht.",True,True,7.969,5.428,32,31,False,
en-de-03,EN->DE,technical,The service exposes a REST endpoint that returns a paginated list of invoices in JSON format.,"Der Service bietet einen REST-Endpunkt, der eine paginierte Liste von Rechnungen im JSON-Format zurückgibt.","Der Service bietet einen REST-Endpunkt, der eine paginierte Liste von Rechnungen im JSON-Format zurückgibt.",True,True,7.948,5.375,27,27,True,
en-de-04,EN->DE,technical,"If the GPU driver reports a compute capability of 12.0, the CUDA 12.8 toolkit is required to build the kernels.","Wenn der GPU-Treiber eine Berechnungskapazität von 12,0 meldet, ist der CUDA-Toolkit 12,8 erforderlich, um die Kerne zu kompilieren.","Wenn der GPU-Treiber eine Berechnungskapazität von 12.0 meldet, ist der CUDA-Toolkit 12.8 erforderlich, um die Kerne zu kompilieren.",True,True,8.012,5.486,47,47,False,
en-de-05,EN->DE,technical,"Restart the container after updating the environment variables, otherwise the new token will not be picked up.","Starte den Container nach der Aktualisierung der Umgebungsvariablen neu, ansonsten wird der neue Token nicht aufgenommen.","Starten Sie den Container nach der Aktualisierung der Umgebungsvariablen neu, ansonsten wird der neue Token nicht aufgenommen.",True,True,7.918,5.447,31,33,False,
en-de-06,EN->DE,numbers,"The invoice for $12,450.75 is due on March 3, 2026, and a 1.5% late fee applies after 30 days.","Die Rechnung im Betrag von 12.450,75 $ fällt am 3. März 2026 due und es gelten 1,5 % Verzugszinsen nach 30 Tagen.","Die Rechnung im Betrag von 12.450,75 $ fällt am 3. März 2026 due und es gelten 1,5 % Verzugssatz nach 30 Tagen.",True,True,8.246,5.557,54,52,False,
en-de-07,EN->DE,numbers,"Our flight departs at 6:45 a.m. on the 21st and lands at 14:10 local time, roughly 3,200 kilometers away.","Unser Flug startet um 6:45 Uhr am 21sten und landet um 14:10 Uhr Ortszeit, etwa 3.200 Kilometer entfernt.","Unser Flug startet um 6:45 Uhr am 21sten und landet um 14:10 Uhr Ortszeit, etwa 3.200 Kilometer entfernt.",True,True,8.057,5.482,45,45,True,
en-de-08,EN->DE,numbers,"In Q4 the churn rate fell from 4.8% to 3.1%, while average revenue per user rose by 12%.","Im Q4 sank der Churn-Rate von 4,8% auf 3,1%, während sich der durchschnittliche Umsatz pro Nutzer um 12% erhöhte.","Im Q4 sank der Churn-Rate von 4,8% auf 3,1%, während sich der durchschnittliche Umsatz pro Nutzer um 12% erhöhte.",True,True,7.993,5.435,43,43,True,
en-de-09,EN->DE,long,"Although the committee had initially agreed to postpone the decision until the audit was complete, the sudden resignation of the chairman, combined with mounting pressure from investors who had already lost patience, forced the board to convene an emergency session on the very same evening.","Obwohl das Komitee ursprünglich vereinbart hatte, die Entscheidung bis zur Abschlussprüfung hinauszuzögern, wurde die plötzliche Resignation des Vorsitzenden zusammen mit der zunehmenden Druck von Anlegern, die bereits Geduld verloren hatten, die Vorstandsgesellschaft zu einem Notaufkommen am gleichen Abend zwingen, über die Angelegenheit zu entscheiden.","Obwohl das Komitee ursprünglich vereinbart hatte, die Entscheidung bis zur Abschlussprüfung hinauszuzögern, wurde durch die plötzliche Resignation des Vorsitzenden zusammen mit der zunehmenden Druck von Anlegern, die bereits Geduld verloren hatten, der Vorstand gezwungen, eine Notverhandlung am gleichen Abend einzuberufen.",True,True,8.122,5.53,100,93,False,
en-de-10,EN->DE,ambiguous,I saw her duck.,"Ich sah, wie sie sich niederlasse.","Ich sah, wie sie sich niederbeugte.",True,True,7.311,5.147,12,13,False,
en-de-11,EN->DE,ambiguous,The chicken is ready to eat.,Das Huhn ist bereit zum Essen.,Das Huhn ist bereit zum Essen.,True,True,7.278,5.032,9,9,True,
en-de-12,EN->DE,ambiguous,"They left the keys in the car, so we couldn't get in.","Sie haben die Schlüssel im Auto gelassen, sodass wir nicht hineinkonnten.","Sie haben die Schlüssel im Auto gelassen, deshalb konnten wir nicht einsteigen.",True,True,7.689,5.534,21,21,False,
